article_id,tier,classification,strategy,status,bytes,dest_filename,url_used,title,author1,year,source_type
ART-0005,VC_pass,direct_pdf,direct,ok,361571,ACOG_2018#@#ART-0005@#@.pdf,https://medquest.ro/docs/acog-practice-bulletin-no-190-2018.pdf,Gestational diabetes mellitus,ACOG Practice Bulletin No. 190,2018,Guideline/Org
ART-0012,VC_pass,direct_pdf,direct,ok,2058529,Abhishek_2017#@#ART-0012@#@.pdf,https://www.medrxiv.org/content/10.64898/2026.01.29.26345166v1.full.pdf,54-59,Abhishek,2017,Other Journal
ART-0047,VC_pass,direct_pdf,direct,ok,368419,American_2021#@#ART-0047@#@.pdf,https://assets.contentstack.io/v3/assets/bltee37abb6b278ab2c/blt9e44ccb701e1918c/63360f6775c0be225b8d943a/ra-guideline-2021.pdf,evidence-based clinical practice guideline,American,2021,Guideline/Org
ART-0054,VC_pass,direct_pdf,direct,failed,0,,https://www.aeped.es/sites/default/files/1-breastfeeding_and_the_use_of_hm_aap2012.pdf,Breastfeeding and the use of human milk: Section on Breastfeeding,American,2012,Pediatrics
ART-0058,VC_pass,direct_pdf,direct,failed,0,,https://ep.bmj.com/content/98/2/64.full.pdf,Don’t repeat a confirmed positive ANA in patients with established JIA or systemic lupus erythematosus (SLE),American,2013,Other Journal
ART-0062,VC_pass,direct_pdf,direct,ok,1518597,American_2021#@#ART-0062@#@.pdf,https://www.diabetesnc.com/wp-content/themes/dnc/assets/downloads/0321/ADAStandardsofCare_2021.pdf,standards of medical care in diabetes—2021,American,2021,Guideline/Org
ART-0073,VC_pass,direct_pdf,direct,ok,7518145,American_2013#@#ART-0073@#@.pdf,https://www.physio-pedia.com/images/1/1b/Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_%28_PDFDrive.com_%29.pdf,"Diagnostic and Statistical Manual of Mental
Disorders, ed 5",American,2013,Other Journal
ART-0074,VC_pass,direct_pdf,direct,ok,7518145,American_2013#@#ART-0074@#@.pdf,https://www.physio-pedia.com/images/1/1b/Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_%28_PDFDrive.com_%29.pdf,"Diagnostic and Statistical Manual of Mental Disorders, ed 5",American,2013,Other Journal
ART-0075,VC_pass,direct_pdf,direct,ok,7518145,American_2013#@#ART-0075@#@.pdf,https://www.physio-pedia.com/images/1/1b/Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_%28_PDFDrive.com_%29.pdf,"Diagnostic and Statistical Manual of Mental Disorders, ed 5",American,2013,Other Journal
ART-0076,VC_pass,direct_pdf,direct,ok,7518145,American_2013#@#ART-0076@#@.pdf,https://www.physio-pedia.com/images/1/1b/Diagnostic_and_statistical_manual_of_mental_disorders_DSM-5_%28_PDFDrive.com_%29.pdf,"Diagnostic and Statistical Manual of Mental Disorders, ed 5",American,2013,Other Journal
ART-0054,VC_pass,direct_pdf,direct,failed,0,,https://www.aeped.es/sites/default/files/1-breastfeeding_and_the_use_of_hm_aap2012.pdf,Breastfeeding and the use of human milk: Section on Breastfeeding,American,2012,Pediatrics
ART-0058,VC_pass,direct_pdf,direct,failed,0,,https://ep.bmj.com/content/98/2/64.full.pdf,Don’t repeat a confirmed positive ANA in patients with established JIA or systemic lupus erythematosus (SLE),American,2013,Other Journal
ART-0101,VC_pass,direct_pdf,direct,ok,2627468,Autism_2022#@#ART-0101@#@.pdf,https://robertduworsphd.com/wp-content/uploads/2022/08/ASD-Pink-Flags-2021.pdf,signs and symptoms,Autism,2022,Guideline/Org
ART-0128,VC_pass,direct_pdf,direct,ok,412403,Basura_2020#@#ART-0128@#@.pdf,https://www.salutogenesi.org/wp-content/uploads/2025/03/Clinical-Practice-Guideline-Meniere.pdf,Meniere's Disease Executive Summary,Basura,2020,Guideline/Org
ART-0135,VC_pass,direct_pdf,direct,ok,439926,Beauchamp_2019#@#ART-0135@#@.pdf,https://ancei.es/wp-content/uploads/2019/12/Principles-of-Biomedical-Ethics-Marking-Its-Fortieth-Anniversary-2019.pdf,Principles of Biomedical Ethics: Marking its fortieth anniversary,Beauchamp,2019,Other Journal
ART-0151,VC_pass,direct_pdf,direct,ok,874140,Bhattacharyya_2017#@#ART-0151@#@.pdf,https://medquest.ro/docs/bhattacharyya2017.pdf,Clinical practice guideline: Benign paroxysmal positional vertigo (update),Bhattacharyya,2017,Guideline/Org
ART-0331,VC_pass,direct_pdf,direct,failed,0,,https://stacks.cdc.gov/view/cdc/122248/cdc_122248_DS1.pdf,"CDC guideline for prescribing opioids for chronic pain—United States, 2016",Dowell,2016,Guideline/Org
ART-0337,VC_pass,direct_pdf,direct,ok,2500290,Drugs_2020#@#ART-0337@#@.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206321s012s013s014lbl.pdf,Liraglutide,Drugs,2020,Other Journal
ART-0339,VC_pass,direct_pdf,direct,ok,1603108,Drugs_2020#@#ART-0339@#@.pdf,https://www.cdc.gov/brfss/annual_data/2020/pdf/codebook20_llcp-v2-508.pdf,188-191,Drugs,2020,Other Journal
